category,subcategory,sku,ean,brand,name,format,description
Modulistica,"Contabilità, Cassa e Fatture",E 5350,8023328535001,Edipro,"Blocco prima nota cassa 50×2 autoricalcante (cassa-banca) – Formato 22×29,7","22 x 29,7 cm","Blocco prima nota cassa Edipro 50×2 autoricalcante (cassa-banca), formato 22 × 29,7 cm."
Modulistica,"Contabilità, Cassa e Fatture",E 5356,8023328535605,Edipro,"Blocco prima nota cassa 100 fogli uso mano (entrata – uscita – IVA) – Formato 29,7×22","29,7 x 22 cm","Blocco prima nota cassa Edipro 100 fogli uso mano (entrata – uscita – IVA), formato 29,7 × 22 cm."
Modulistica,"Contabilità, Cassa e Fatture",E 5356 A,8023328535612,Edipro,"Blocco prima nota cassa 50×2 autoricalcante (entrate – uscite - IVA) – Formato 29,7×22","29,7 x 22 cm","Blocco prima nota cassa Edipro 50×2 autoricalcante (entrate – uscite - IVA), formato 29,7 × 22 cm."
Modulistica,"Contabilità, Cassa e Fatture",E 5359 A,8023328535919,Edipro,"Blocco prima nota cassa 50×2 autoricalcante (entrate – uscite) – Formato 29,7×22","29,7 x 22 cm","Blocco prima nota cassa Edipro 50×2 autoricalcante (entrate – uscite), formato 29,7 × 22 cm."
Modulistica,"Contabilità, Cassa e Fatture",E4033,,Edipro,"Scadenzario effetti passivi con spirale e indici plastificati 36 fogli – Formato 24×17","24 x 17 cm","Scadenzario effetti passivi Edipro con spirale e indici plastificati, 36 fogli, formato 24 × 17 cm."
Modulistica,Ricevute Sportive e Varie,E 5567 C,8023328556716,Edipro,"Blocco ricevuta di pagamento per attività sportive 50×2 autoricalcante – Formato 9,9×17","9,9 x 17 cm","Blocco ricevuta di pagamento per attività sportive Edipro 50×2 autoricalcante, formato 9,9 × 17 cm."
Modulistica,Ricevute Sportive e Varie,E 5275 CN,8023328527518,Edipro,"Ricevuta Sanitaria 50x2 autoricalcanti - Formato 9,9x17","9,9 x 17 cm","Ricevuta sanitaria Edipro 50×2 autoricalcanti, formato 9,9 × 17 cm."
Modulistica,Registri Contabili e Cassa,E4034,,Edipro,"Scadenzario effetti attivi con spirale e indici plastificati 36 fogli – Formato 24×17","24 x 17 cm","Scadenzario effetti attivi Edipro con spirale e indici plastificati, 36 fogli, formato 24 × 17 cm."
Modulistica,Registri Contabili e Cassa,E2656,,Edipro,"Registro dare/avere/saldo 96 pagine – Formato 17×12","17 x 12 cm","Registro dare/avere/saldo Edipro, 96 pagine, formato 17 × 12 cm."
Modulistica,Registri Contabili e Cassa,E2666,,Edipro,"Registro due colonne 96 pagine – Formato 24×17","24 x 17 cm","Registro due colonne Edipro, 96 pagine, formato 24 × 17 cm."
Modulistica,Registri Contabili e Cassa,E2686,,Edipro,"Registro cassa entrate/uscite 96 pagine – Formato 24×17","24 x 17 cm","Registro cassa entrate/uscite Edipro, 96 pagine, formato 24 × 17 cm."
Modulistica,Registri Contabili e Cassa,E2769,,Edipro,"Registro 3 colonne 96 pagine – Formato 31×24,5","31 x 24,5 cm","Registro 3 colonne Edipro, 96 pagine, formato 31 × 24,5 cm."
Modulistica,Registri Fiscali e IVA,E2172,,Edipro,"Giornale degli affari 96 pagine – Formato 31×24,5","31 x 24,5 cm","Giornale degli affari Edipro, 96 pagine, formato 31 × 24,5 cm."
Modulistica,Registri Fiscali e IVA,E2103,,Edipro,"Registro IVA corrispettivi 15 pagine numerate – Formato 31×24,5","31 x 24,5 cm","Registro IVA corrispettivi Edipro, 15 pagine numerate, formato 31 × 24,5 cm."
Modulistica,Registri Fiscali e IVA,E2117,,Edipro,"Registro acquisti beni usati 23 pagine numerate – Formato 31×24,5","31 x 24,5 cm","Registro acquisti beni usati Edipro, 23 pagine numerate, formato 31 × 24,5 cm."
Modulistica,Schede Contabili e Maste,E 3399,8023328339906,Edipro,"Schede - 2 colonne - 24 x 17 cm (verticale) - Edipro - conf. 100 pezzi","24 x 17 cm","Schede contabili Edipro a 2 colonne, formato 24 × 17 cm verticale, confezione da 100 pezzi."
Modulistica,Schede Contabili e Maste,E 3369,8023328336905,Edipro,"Schede - 3 colonne - 17 x 24 cm orizzontale - Edipro - conf. 100 pezzi","17 x 24 cm","Schede contabili Edipro a 3 colonne, formato 17 × 24 cm orizzontale, confezione da 100 pezzi."
Modulistica,Schede Contabili e Maste,E 3259,8023328325909,Edipro,"Schede - 3 colonne - 15 x 21 cm orizzontale - Edipro - conf. 100 pezzi","15 x 21 cm","Schede contabili Edipro a 3 colonne, formato 15 × 21 cm orizzontale, confezione da 100 pezzi."
Modulistica,Schede Contabili e Maste,E 3406,8023328340605,Edipro,"Schede - 3 colonne - 24 x 17 cm verticale - Edipro - conf. 100 pezzi","24 x 17 cm","Schede contabili Edipro a 3 colonne, formato 24 × 17 cm verticale, confezione da 100 pezzi."
Modulistica,Magazzino e Trasporto,DU161570000,,Data Ufficio,"Blocco buoni di consegna - 50/50 copie autoric. - 11,5 x 16,5 cm - DU161570000 - Data Ufficio","11,5 x 16,5 cm","Blocco buoni di consegna Data Ufficio 50/50 copie autoricalcanti, formato 11,5 × 16,5 cm."
Modulistica,Magazzino e Trasporto,DU164570000,,Data Ufficio,"Blocco buoni di consegna - 50/50 copie autoric. - 21,5 x 14,8 cm - DU164570000 - Data Ufficio","21,5 x 14,8 cm","Blocco buoni di consegna Data Ufficio 50/50 copie autoricalcanti, formato 21,5 × 14,8 cm."
Modulistica,Magazzino e Trasporto,DU161583300,,Data Ufficio,"Blocco buoni di consegna - 33/33/33 copie autoric. - 11,5 x 16,5 cm - DU161583300 - Data Ufficio","11,5 x 16,5 cm","Blocco buoni di consegna Data Ufficio 33/33/33 copie autoricalcanti, formato 11,5 × 16,5 cm."
Modulistica,Magazzino e Trasporto,DU164583300,,Data Ufficio,"Blocco buoni di consegna - 33/33/33 copie autoric. - 21,5 x 14,8 cm - DU164583300 - Data Ufficio","21,5 x 14,8 cm","Blocco buoni di consegna Data Ufficio 33/33/33 copie autoricalcanti, formato 21,5 × 14,8 cm."
Modulistica,Ricevute Fiscali e Fatture,E 5348 C,8023328534813,Edipro,"Blocco fattura/ricevuta fiscale barbiere 50×2 autoricalcante – Formato 22×9,9","22 x 9,9 cm","Blocco fattura/ricevuta fiscale barbiere Edipro 50×2 autoricalcante, formato 22 × 9,9 cm."
Modulistica,Ricevute Fiscali e Fatture,E 5342 C,8023328534219,Edipro,"Blocco fattura/ricevuta fiscale parrucchiere 50×2 autoricalcante – Formato 22×9,9","22 x 9,9 cm","Blocco fattura/ricevuta fiscale parrucchiere Edipro 50×2 autoricalcante, formato 22 × 9,9 cm."
Modulistica,Ricevute Fiscali e Fatture,E 5340 C,8023328534011,Edipro,"Blocco fattura/ricevuta fiscale generica 50×2 autoricalcante – Formato 22×14,8","22 x 14,8 cm","Blocco fattura/ricevuta fiscale generica Edipro 50×2 autoricalcante, formato 22 × 14,8 cm."
